fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
mztn.sakura.ne.jp;mztn.sakura.ne.jp:465;%EMAILADDRESS%
kaji.sakura.ne.jp;kaji.sakura.ne.jp:465;%EMAILADDRESS%
w-maa.sakura.ne.jp;w-maa.sakura.ne.jp:465;%EMAILADDRESS%
isuke.sakura.ne.jp;isuke.sakura.ne.jp:465;%EMAILADDRESS%
lifeplaza.sakura.ne.jp;lifeplaza.sakura.ne.jp:465;%EMAILADDRESS%
moss.sakura.ne.jp;moss.sakura.ne.jp:465;%EMAILADDRESS%
mixan.sakura.ne.jp;mixan.sakura.ne.jp:465;%EMAILADDRESS%
yuuto.sakura.ne.jp;yuuto.sakura.ne.jp:465;%EMAILADDRESS%
gear.sakura.ne.jp;gear.sakura.ne.jp:465;%EMAILADDRESS%
zoi.sakura.ne.jp;zoi.sakura.ne.jp:465;%EMAILADDRESS%
girasol2011.sakura.ne.jp;girasol2011.sakura.ne.jp:465;%EMAILADDRESS%
odim.sakura.ne.jp;odim.sakura.ne.jp:465;%EMAILADDRESS%
fjx.sakura.ne.jp;fjx.sakura.ne.jp:465;%EMAILADDRESS%
yanoppu.sakura.ne.jp;yanoppu.sakura.ne.jp:465;%EMAILADDRESS%
dearcom.sakura.ne.jp;dearcom.sakura.ne.jp:465;%EMAILADDRESS%
mikadoqma.sakura.ne.jp;mikadoqma.sakura.ne.jp:465;%EMAILADDRESS%
msnpop.sakura.ne.jp;msnpop.sakura.ne.jp:465;%EMAILADDRESS%
a-g-200.sakura.ne.jp;a-g-200.sakura.ne.jp:465;%EMAILADDRESS%
prix01.sakura.ne.jp;prix01.sakura.ne.jp:465;%EMAILADDRESS%
mizuki.sakura.ne.jp;mizuki.sakura.ne.jp:465;%EMAILADDRESS%
